MSA ExposureSegregation #Exposures MeanSES NeighborhoodSortingIndex Gini Pop.Size BridgingIndex
RockyMount,NC 0.33 366,999.00 977.64 0.55 0.16 146,769.00 0.81
Rome,GA 0.36 264,276.00 1,078.32 0.39 0.16 97,427.00 0.99
Sacramento-Roseville-Arden-Arcade,CA 0.39 7,101,248.00 2,048.69 0.66 0.15 2,320,381.00 0.70
Saginaw,MI 0.37 355,021.00 927.43 0.70 0.18 191,996.00 0.77
Salem,OR 0.27 670,775.00 1,603.26 0.45 0.12 424,968.00 0.94
Salinas,CA 0.36 952,169.00 2,642.69 0.65 0.17 435,477.00 0.77
Salisbury,MD-DE 0.48 875,922.00 1,462.24 0.68 0.14 404,067.00 0.78
SaltLakecity,UT 0.33 3,468,862.00 1,763.34 0.60 0.15 1,205,238.00 0.77
sanAngelo,TX 0.34 380,590.00 1,321.06 0.66 0.14 119,200.00 0.83
sanAntonio-newBraunfels,TX 0.53 14,354,046.00 1,596.19 0.70 0.20 2,474,274.00 0.64
sanDiego-Carlsbad,CA 0.42 13,807,983.00 2,854.26 0.73 0.20 3,325,468.00 0.71
sanFrancisco-Oakland-Hayward,CA 0.41 37,492,367.00 3,925.90 0.71 0.21 4,710,693.00 0.68
sanJose-Sunnyvale-SantaClara,CA 0.37 8,012,471.00 3,766.32 0.78 0.16 1,993,582.00 0.68
sanLuisObispo-PasoRobles-ArroyoGrande,CA 0.22 656,686.00 2,601.39 0.47 0.13 282,838.00 0.94
santaCruz-Watsonville,CA 0.27 611,337.00 3,306.01 0.52 0.13 275,105.00 0.85
santaFe,NM 0.45 182,572.00 2,075.86 0.61 0.23 149,617.00 0.91
santaMaria-santaBarbara,CA 0.52 1,124,975.00 3,039.10 0.75 0.28 445,606.00 0.59
santaRosa,CA 0.22 1,144,462.00 2,793.94 0.54 0.11 503,246.00 0.92
Savannah,GA 0.39 1,601,410.00 1,599.94 0.57 0.19 386,337.00 0.83
Scranton-Wilkes-Barre-Hazleton,PA 0.30 1,064,769.00 1,077.93 0.62 0.16 555,645.00 0.90
Seattle-Tacoma-Bellevue,WA 0.44 18,136,495.00 2,474.85 0.64 0.20 3,884,469.00 0.73
Sebastian-VeroBeach,FL 0.52 1,148,601.00 2,259.56 0.71 0.31 154,314.00 0.78
Sebring,FL 0.26 352,266.00 1,291.88 0.31 0.21 104,060.00 0.98
Sheboygan,WI 0.35 220,669.00 1,204.87 0.58 0.10 115,235.00 0.86
Sherman-Denison,TX 0.39 648,078.00 1,321.20 0.46 0.14 131,214.00 0.95
Shreveport-Bossiercity,LA 0.50 1,110,198.00 1,247.36 0.65 0.26 439,631.00 0.79
SierraVista-Douglas,AZ 0.21 153,651.00 992.99 0.70 0.14 124,990.00 0.93
Siouxcity,IA-NE-SD 0.24 383,415.00 1,137.14 0.41 0.14 168,218.00 0.97
SiouxFalls,SD 0.27 733,324.00 1,239.36 0.68 0.13 260,521.00 0.98
southBend-Mishawaka,IN-MI 0.48 1,021,877.00 1,289.97 0.67 0.26 321,447.00 0.86
Spartanburg,SC 0.39 913,944.00 1,295.96 0.46 0.23 334,130.00 0.93
Spokane-SpokaneValley,WA 0.34 944,039.00 1,472.98 0.58 0.16 563,958.00 0.88
Springfield,IL 0.40 797,160.00 1,152.17 0.79 0.17 209,175.00 0.87
Springfield,MA 0.45 1,422,143.00 1,632.08 0.69 0.16 629,506.00 0.82
Springfield,MO 0.39 1,300,346.00 1,100.41 0.59 0.23 462,300.00 0.85
Springfield,OH 0.39 361,791.00 895.90 0.61 0.18 134,649.00 0.89
st.Cloud,MN 0.23 518,337.00 1,273.69 0.40 0.14 198,106.00 0.95
st.George,UT 0.27 243,300.00 1,715.91 0.35 0.17 165,859.00 0.94
st.Joseph,MO-KS 0.27 258,535.00 916.56 0.69 0.14 126,598.00 0.88
st.Louis,MO-IL 0.51 11,016,511.00 1,413.67 0.72 0.25 2,805,850.00 0.62
StateCollege,PA 0.35 215,274.00 1,600.27 0.54 0.18 162,250.00 0.89
Staunton-Waynesboro,VA 0.24 282,626.00 1,324.76 0.28 0.17 121,984.00 0.94
Stockton-Lodi,CA 0.42 2,116,634.00 1,865.80 0.73 0.15 742,516.00 0.72
Sumter,SC 0.35 237,013.00 1,050.69 0.46 0.21 106,514.00 0.92
Syracuse,NY 0.37 1,932,194.00 1,483.28 0.63 0.19 651,048.00 0.82
Tallahassee,FL 0.45 1,973,991.00 1,428.85 0.71 0.22 383,467.00 0.75
Tampa-st.Petersburg-Clearwater,FL 0.45 24,564,393.00 1,805.89 0.62 0.22 3,091,225.00 0.73
TerreHaute,IN 0.32 369,258.00 930.48 0.48 0.18 170,022.00 0.94
Texarkana,TX-AR 0.30 240,478.00 956.50 0.61 0.12 150,254.00 0.89
TheVillages,FL 0.39 786,309.00 1,711.00 0.69 0.12 124,933.00 0.90
Toledo,OH 0.53 1,775,752.00 1,217.56 0.69 0.25 603,830.00 0.63
Topeka,KS 0.43 1,205,672.00 1,084.47 0.64 0.20 233,153.00 0.93
Trenton,NJ 0.64 1,240,113.00 2,005.70 0.85 0.21 368,602.00 0.54
Tucson,AZ 0.39 2,564,383.00 1,362.93 0.73 0.17 1,027,502.00 0.72
Tulsa,OK 0.49 5,223,272.00 1,242.38 0.72 0.20 991,610.00 0.77
Tuscaloosa,AL 0.38 1,468,839.00 1,332.43 0.60 0.18 242,700.00 0.91
TwinFalls,ID 0.27 182,971.00 1,187.85 0.41 0.13 109,037.00 0.98
Tyler,TX 0.27 593,804.00 1,432.30 0.41 0.19 227,460.00 0.87
UrbanHonolulu,HI 0.33 1,368,021.00 2,616.52 0.62 0.19 986,429.00 0.85
Utica-Rome,NY 0.31 374,846.00 1,123.98 0.66 0.17 292,336.00 0.80
Valdosta,GA 0.32 380,832.00 1,136.00 0.52 0.23 145,403.00 0.94
Vallejo-Fairfield,CA 0.18 1,878,258.00 2,372.07 0.67 0.11 443,877.00 0.85
Victoria,TX 0.37 374,597.00 1,529.97 0.55 0.20 99,651.00 0.94
Vineland-Bridgeton,NJ 0.37 354,594.00 1,371.71 0.63 0.09 151,748.00 0.90
VirGiniaBeach-Norfolk-NewportNews,VA-NC 0.45 6,944,774.00 1,666.43 0.62 0.20 1,724,876.00 0.75
Visalia-Porterville,CA 0.25 854,866.00 1,309.53 0.48 0.16 463,097.00 0.95
Waco,TX 0.41 1,245,450.00 1,334.52 0.55 0.20 268,550.00 0.89
WallaWalla,WA 0.22 53,561.00 1,448.66 0.39 0.13 64,675.00 1.00
WarnerRobins,GA 0.40 600,913.00 1,271.38 0.54 0.20 191,227.00 0.86
Washington-Arlington-Alexandria,DC-VA-MD-WV 0.46 127,482,444.00 2,461.96 0.70 0.18 6,200,001.00 0.71
Waterloo-CedarFalls,IA 0.38 326,152.00 1,111.17 0.62 0.18 169,553.00 0.84
Watertown-ParkFortDrum,NY 0.24 113,127.00 1,273.60 0.32 0.15 113,063.00 0.97
Wausau,WI 0.24 299,543.00 1,069.93 0.49 0.12 135,415.00 0.93
Weirton-Steubenville,WV-OH 0.24 235,799.00 823.09 0.52 0.12 118,181.00 0.94
Wenatchee,WA 0.21 126,600.00 1,748.88 0.31 0.14 118,646.00 1.00
Wheeling,WV-OH 0.26 102,043.00 1,100.65 0.53 0.15 141,228.00 0.87
WichitaFalls,TX 0.41 729,999.00 1,253.35 0.53 0.26 151,180.00 0.93
Wichita,KS 0.46 3,213,430.00 1,206.35 0.64 0.23 644,949.00 0.78
Williamsport,PA 0.23 148,520.00 1,025.19 0.38 0.14 113,930.00 0.99
Wilmington,NC 0.46 1,684,931.00 1,859.12 0.58 0.26 289,425.00 0.77
Winchester,VA-WV 0.33 296,124.00 1,560.81 0.50 0.16 138,107.00 0.95
Winston-Salem,NC 0.44 1,872,668.00 1,256.11 0.57 0.22 666,746.00 0.79
Worcester,MA-CT 0.48 2,650,313.00 1,777.27 0.71 0.17 942,303.00 0.74
Yakima,WA 0.33 222,165.00 1,236.55 0.54 0.15 250,377.00 0.88
York-Hanover,PA 0.41 1,303,401.00 1,430.52 0.56 0.18 445,722.00 0.85
Youngstown-Warren-Boardman,OH-PA 0.34 1,336,389.00 951.78 0.64 0.19 541,875.00 0.71
Yubacity,CA 0.29 309,905.00 1,574.77 0.57 0.13 173,213.00 0.89
Yuma,AZ 0.22 271,294.00 1,079.08 0.55 0.17 209,756.00 1.00
